
1,Dance Monkey,Tones and I,50409214,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku

2,The Box,Roddy Ricch,48937592,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I

3,Tusa,KAROL G,41434019,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY

4,Godzilla (feat. Juice WRLD),Eminem,40637125,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ

5,Yummy,Justin Bieber,34586419,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l

6,Life Is Good (feat. Drake),Future,34200687,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc

7,Blinding Lights,The Weeknd,33551309,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD

8,ROXANNE,Arizona Zervas,32102084,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK

9,Falling,Trevor Daniel,28606316,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa

10,Don't Start Now,Dua Lipa,28228768,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg

11,Memories,Maroon 5,24516744,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM

12,Circles,Post Malone,23997809,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb

13,everything i wanted,Billie Eilish,21786149,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ

14,Good News,Mac Miller,21727425,https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY

15,RITMO (Bad Boys For Life),The Black Eyed Peas,21103190,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf

16,You should be sad,Halsey,19736651,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK

17,Someone You Loved,Lewis Capaldi,19523711,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf

18,Señorita,Shawn Mendes,19265338,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2

19,Black Swan,BTS,18424710,https://open.spotify.com/track/24NuEDgyRIljwSyY0lsr7b

20,Lose You To Love Me,Selena Gomez,17714002,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi

24,Adore You,Harry Styles,16285662,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7

25,My Oh My (feat. DaBaby),Camila Cabello,16246433,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K

27,What A Man Gotta Do,Jonas Brothers,15362782,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd

28,Sigues Con El,Dimelo Flow,15207363,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3

29,hot girl bummer,blackbear,15114079,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku

31,Vete,Bad Bunny,14898265,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c

33,BOP,DaBaby,14163167,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN

34,Ride It,Regard,14011559,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ

36,Suicidal,YNW Melly,13981574,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8

37,No Idea,Don Toliver,13281093,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu

40,Fantasias,Rauw Alejandro,12612009,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy

41,Hola - Remix,Dalex,12526399,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt

42,Lose Control,MEDUZA,12332126,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK

43,Say So,Doja Cat,12325839,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ

45,China,Anuel AA,11911525,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK

46,SUGAR,BROCKHAMPTON,11904637,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA

47,HIGHEST IN THE ROOM,Travis Scott,11867232,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW

48,Ayy Macarena,Tyga,11820301,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX

50,I Don't Care (with Justin Bieber),Ed Sheeran,11679460,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9

53,Bandit (with YoungBoy Never Broke Again),Juice WRLD,11296952,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd

54,Ballin' (with Roddy Ricch),Mustard,11242147,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY

55,Me Gusta,Shakira,11157044,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a

56,Morado,J Balvin,11078196,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks

58,Futsal Shuffle 2020,Lil Uzi Vert,10699707,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs

